id,title,author,genre,publishDate
1,Hovering Over the Water (À Flor do Mar),Claiborne Thornton,Drama|Romance,3/23/2021
2,Killer Holiday,Floria Robillard,Horror|Thriller,6/12/2021
3,Kissing Jessica Stein,Josie Klimkov,Comedy|Romance,11/27/2021
4,Everybody's Famous! (Iedereen beroemd!),Regine Leisk,Comedy|Drama|Musical,12/19/2017
5,A Fight For,Chris Leif,(no genres listed),7/23/2018
6,Beefcake,Ewart McRill,Drama,8/31/2019
7,At Sea,Lena Wyman,Documentary,6/19/2020
8,Russell Brand: Messiah Complex,Emelina Cruz,Comedy,1/1/2021
9,Green Lantern: Emerald Knights,Hanson Struthers,Action|Adventure|Animation|Children,9/10/2019
10,Above Us Only Sky,Jarrod Avraham,Drama,5/28/2021
11,Dead Man on Campus,Janka Lamanby,Comedy,3/26/2018
12,"Pillars of the Earth, The",Aubert Redfield,Drama|Romance|Thriller,1/21/2022
13,"Night of the Following Day, The",Mia Pickerin,Crime|Drama,1/14/2018
14,Hardball,Grantley Bentote,Drama,7/20/2020
15,Sons of Katie Elder,Lorita Cammock,Western,2/28/2020
16,You've Got Mail,Martyn Barthod,Comedy|Romance,1/29/2022
17,"Night They Raided Minsky's, The (Night They Invented Striptease, The)",Justus Clissold,Comedy,12/17/2015
18,"Fiancee, The (Parineeta)",Boot Hurdedge,Drama,10/21/2020
19,Flodder,Clo Headley,Comedy,11/25/2020
20,Chiedimi se sono felice,Bord Dumbare,Comedy|Drama,8/27/2021
21,Bananas!*,Kale Cumbers,Crime|Documentary|Drama,10/25/2021
22,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),Gardener Heams,Action|Crime|Thriller,10/23/2022
23,"Day at the Races, A",Des Lillicrop,Comedy|Musical,7/31/2016
24,The Four Feathers,Olwen Jellett,Adventure|Drama|Romance|War,8/28/2015
25,Code Unknown (Code inconnu: Récit incomplet de divers voyages),Vivi Mattsson,Drama,8/6/2022
26,Lakeview Terrace,Mora Braisher,Drama|Thriller,6/23/2021
27,Desire: The Vampire,Humfrid Fairholm,Crime|Horror|Thriller,6/24/2017
28,Inspector Gadget,Violette Brockley,Action|Adventure|Children|Comedy,10/3/2017
29,Dreamboat,Cherlyn Mille,Comedy,10/23/2021
30,Harry + Max,Elianora Janek,Drama,7/29/2021
31,Arn: The Kingdom at Road's End (Arn: Riket vid vägens slut),Joya Fearnyhough,Action|Adventure|Drama|Romance|War,10/31/2019
32,It Follows,Vittorio Wong,Horror,12/29/2016
33,Jane Eyre,Mirella Linfoot,Drama|Romance,11/19/2022
34,Wrestling with Alligators,Garald O'Geneay,Drama,6/26/2021
35,I Am Jesus,Suellen Sivewright,Documentary,9/26/2017
36,Crockdale,Ludovico Ingreda,Drama,12/24/2015
37,Wallace & Gromit: The Wrong Trousers,Verina Gumey,Animation|Children|Comedy|Crime,7/22/2019
38,Alien from L.A.,Gabbi Spriggen,Sci-Fi,11/16/2022
39,"Good Job:  Stories of the FDNY, A",Saleem Aymes,Documentary,6/13/2018
40,Operation Daybreak,Marylin Putten,War,6/28/2019
41,Super Rich: The Greed Game,Lucina Ricold,Documentary,3/20/2021
42,Ballistic: Ecks vs. Sever,Giavani Grumble,Action|Thriller,8/26/2020
43,When Nietzsche Wept,Marshal Ruxton,Drama,7/31/2017
44,How to Seduce Difficult Women,Miguela Kirrens,Comedy,9/21/2021
45,Gurren Lagann: Childhood's End (Gekijô ban Tengen toppa guren ragan: Guren hen),Yalonda Houlson,Adventure|Animation|Drama|Sci-Fi|War,2/11/2023
46,Intervista,Liesa Stainton,Comedy|Drama,11/19/2022
47,Shriek of the Mutilated,Jasmina Bagenal,Horror,11/29/2017
48,"Unsinkable Molly Brown, The",Yulma Romans,Musical,10/14/2017
49,Revengers Tragedy,Conant Ranscombe,Comedy|Horror,6/7/2017
50,The Mad Magician,Guendolen Dreini,Horror|Mystery|Thriller,5/20/2018
51,"Story of Film: An Odyssey, The",Carole Bonifazio,Documentary,10/28/2019
52,"Last American Hero, The",Wernher Balls,Action|Drama,1/5/2022
53,WikiRebels: The Documentary,Nata Hush,Documentary,1/8/2020
54,Lock Up,Xenia Bowers,Action|Adventure|Crime|Drama|Thriller,10/20/2019
55,"Iceman Cometh, The",Niccolo Cressar,Drama,2/25/2021
56,Harrison's Flowers,Dexter Loudian,Drama,8/20/2018
57,Chain Lightning,Nicola Budgey,Action|Drama,8/14/2021
58,Budrus,Lula Devlin,Documentary,7/3/2020
59,Runaway Jury,Estelle Lankford,Drama|Thriller,4/8/2022
60,Elling,Lowrance Allnutt,Comedy|Drama,6/26/2022
61,Al otro lado,Eddy Corran,Drama,5/27/2021
62,"Island, The (a.k.a. Naked Island) (Hadaka no shima)",Bertine Kimmerling,Drama,3/24/2017
63,Legend of the Fist: The Return of Chen Zhen (Jing wu feng yun: Chen Zhen),Gaylord Besset,Action|Drama,2/20/2022
64,Before I Go to Sleep,Mayne Campa,Mystery|Thriller,9/18/2015
65,Halloween II,Eveline Bianco,Horror,8/10/2016
66,Mirage,Andi Bugby,Action|Thriller,5/24/2018
67,Dredd,Ines Northen,Action|Sci-Fi,2/23/2019
68,Blast,Shaylah Ishaki,Action|Comedy|Thriller,5/20/2020
69,"Lady in Number 6: Music Saved My Life, The",Belinda Easson,Documentary|Drama,8/17/2022
70,"Eighth Day, The (Huitième jour, Le)",Dionis Dittson,Drama,12/16/2019
71,Westbound,Danette Porker,Western,11/24/2022
72,Memories (Memorîzu),Warden Casper,Animation|Fantasy|Sci-Fi|Thriller,7/25/2015
73,"Three Faces of Eve, The",Bendite Rigler,Drama,11/5/2022
74,"Man in the White Suit, The",Devonna Leamy,Comedy|Sci-Fi,2/2/2017
75,"Illustrated Man, The",Mordy Loader,Sci-Fi,7/25/2015
76,True Blue ,Julian Gwyn,Crime|Drama|Thriller,5/7/2016
77,"Charter Trip, The (a.k.a. Package Tour, The) (Sällskapsresan)",Dorise Ramsby,Comedy,2/18/2023
78,Into the Arms of Strangers: Stories of the Kindertransport,Gustie Ogglebie,Documentary,12/12/2017
79,Breakdown,Yvor Stacey,Action|Thriller,10/29/2020
80,Magic in the Water,Myles Baselli,Adventure|Children|Fantasy,2/8/2017
81,Dirty Deeds,Edan Gowrich,Comedy,9/19/2017
82,"Method, The (Método, El)",Lodovico Skelbeck,Drama,6/13/2021
83,Tin Pan Alley,Fredericka Trelease,Drama|Musical|Romance,5/15/2021
84,Accidents Happen,Feodor Corrington,Comedy|Drama,8/24/2016
85,"Three Musketeers, The",Ignace McIlvaney,Action|Adventure|Comedy|Romance,6/12/2016
86,"Bless Me, Ultima",Adiana Siemandl,Drama|War,4/4/2018
87,"Interpreter, The",Tonie Thomazet,Drama|Thriller,9/22/2017
88,The Infinite Man,Meryl Baxill,Comedy,3/26/2022
89,Kahaani,Merilee Beauvais,Crime|Drama|Thriller,2/16/2018
90,"Hello, Friend",Ashbey Manders,Comedy|Horror,9/29/2021
91,Futureworld,Richard Stoppard,Sci-Fi|Thriller,2/3/2019
92,"Walk to Remember, A",Merrel Benck,Drama|Romance,12/26/2017
93,Pandaemonium,Tatiana Balden,Drama,8/21/2019
94,Candyman,Nero Querrard,Horror|Thriller,3/24/2021
95,Me and Orson Welles,Juliette Bannell,Drama,3/28/2021
96,Wreck-It Ralph,Christean Langlois,Animation|Comedy,8/12/2021
97,If....,Ali Theobold,Drama,3/21/2017
98,"Second Woman, The",Fin Sydry,Drama|Film-Noir|Mystery,10/5/2019
99,Sweeney Todd: The Demon Barber of Fleet Street,Anders Legge,Crime|Horror,5/24/2020
100,"Leech Woman, The",Lester Dykes,Horror|Sci-Fi,5/2/2022
